ARRIVAL_DELAY,DEPARTURE_DELAY,ARRIVAL_DELAY_hr,DEPARTURE_DELAY_hr
-10.0,-4.0,-0.16666666666666666,-0.06666666666666667
2.0,-5.0,0.03333333333333333,-0.08333333333333333
-21.0,-4.0,-0.35,-0.06666666666666667
-21.0,-3.0,-0.35,-0.05
-9.0,6.0,-0.15,0.1
-13.0,-2.0,-0.21666666666666667,-0.03333333333333333
-6.0,-9.0,-0.1,-0.15
-19.0,2.0,-0.31666666666666665,0.03333333333333333
-10.0,-4.0,-0.16666666666666666,-0.06666666666666667
-26.0,-4.0,-0.43333333333333335,-0.06666666666666667
-11.0,-3.0,-0.18333333333333332,-0.05
-5.0,3.0,-0.08333333333333333,0.05
-8.0,-4.0,-0.13333333333333333,-0.06666666666666667
2.0,0.0,0.03333333333333333,0.0
-22.0,-2.0,-0.36666666666666664,-0.03333333333333333
-21.0,-6.0,-0.35,-0.1
-23.0,-8.0,-0.38333333333333336,-0.13333333333333333
13.0,9.0,0.21666666666666667,0.15
-3.0,-4.0,-0.05,-0.06666666666666667
-17.0,-5.0,-0.2833333333333333,-0.08333333333333333
-24.0,-7.0,-0.4,-0.11666666666666667
-20.0,-4.0,-0.3333333333333333,-0.06666666666666667
-13.0,-2.0,-0.21666666666666667,-0.03333333333333333
-11.0,-5.0,-0.18333333333333332,-0.08333333333333333
2.0,19.0,0.03333333333333333,0.31666666666666665
-12.0,-3.0,-0.2,-0.05
2.0,-5.0,0.03333333333333333,-0.08333333333333333
-16.0,1.0,-0.26666666666666666,0.016666666666666666
-16.0,-4.0,-0.26666666666666666,-0.06666666666666667
13.0,0.0,0.21666666666666667,0.0
10.0,-7.0,0.16666666666666666,-0.11666666666666667
5.0,-1.0,0.08333333333333333,-0.016666666666666666
-37.0,-10.0,-0.6166666666666667,-0.16666666666666666
-7.0,-3.0,-0.11666666666666667,-0.05
131.0,133.0,2.183333333333333,2.216666666666667
-10.0,-4.0,-0.16666666666666666,-0.06666666666666667
-6.0,0.0,-0.1,0.0
-19.0,-2.0,-0.31666666666666665,-0.03333333333333333
-1.0,-5.0,-0.016666666666666666,-0.08333333333333333
-27.0,9.0,-0.45,0.15
-27.0,-2.0,-0.45,-0.03333333333333333
-25.0,-4.0,-0.4166666666666667,-0.06666666666666667
4.0,0.0,0.06666666666666667,0.0
-13.0,1.0,-0.21666666666666667,0.016666666666666666
-22.0,-6.0,-0.36666666666666664,-0.1
-4.0,-7.0,-0.06666666666666667,-0.11666666666666667
11.0,-6.0,0.18333333333333332,-0.1
-10.0,9.0,-0.16666666666666666,0.15
-4.0,-3.0,-0.06666666666666667,-0.05
-2.0,-5.0,-0.03333333333333333,-0.08333333333333333
2.0,-6.0,0.03333333333333333,-0.1
-19.0,-8.0,-0.31666666666666665,-0.13333333333333333
-1.0,-1.0,-0.016666666666666666,-0.016666666666666666
4.0,-4.0,0.06666666666666667,-0.06666666666666667
27.0,2.0,0.45,0.03333333333333333
11.0,4.0,0.18333333333333332,0.06666666666666667
-8.0,-1.0,-0.13333333333333333,-0.016666666666666666
4.0,8.0,0.06666666666666667,0.13333333333333333
-27.0,-5.0,-0.45,-0.08333333333333333
-21.0,-6.0,-0.35,-0.1
-15.0,-3.0,-0.25,-0.05
-15.0,-2.0,-0.25,-0.03333333333333333
28.0,7.0,0.4666666666666667,0.11666666666666667
7.0,-3.0,0.11666666666666667,-0.05
37.0,38.0,0.6166666666666667,0.6333333333333333
-20.0,-5.0,-0.3333333333333333,-0.08333333333333333
51.0,-5.0,0.85,-0.08333333333333333
-5.0,-6.0,-0.08333333333333333,-0.1
3.0,14.0,0.05,0.23333333333333334
-28.0,-7.0,-0.4666666666666667,-0.11666666666666667
-5.0,-6.0,-0.08333333333333333,-0.1
-7.0,-1.0,-0.11666666666666667,-0.016666666666666666
-11.0,2.0,-0.18333333333333332,0.03333333333333333
1.0,3.0,0.016666666666666666,0.05
-14.0,-2.0,-0.23333333333333334,-0.03333333333333333
-16.0,3.0,-0.26666666666666666,0.05
14.0,-4.0,0.23333333333333334,-0.06666666666666667
-16.0,-10.0,-0.26666666666666666,-0.16666666666666666
-30.0,-12.0,-0.5,-0.2
29.0,47.0,0.48333333333333334,0.7833333333333333
-5.0,-1.0,-0.08333333333333333,-0.016666666666666666
-12.0,-8.0,-0.2,-0.13333333333333333
2.0,4.0,0.03333333333333333,0.06666666666666667
14.0,4.0,0.23333333333333334,0.06666666666666667
-14.0,-8.0,-0.23333333333333334,-0.13333333333333333
-4.0,-8.0,-0.06666666666666667,-0.13333333333333333
-30.0,-1.0,-0.5,-0.016666666666666666
-18.0,-10.0,-0.3,-0.16666666666666666
2.0,-8.0,0.03333333333333333,-0.13333333333333333
99.0,88.0,1.65,1.4666666666666666
